,date,canton,new_tested,new_conf,new_released,new_deceased
98,2020-01-08,SH,0.0,0.0,0.0,0.0
99,2020-01-08,SO,0.0,0.0,0.0,0.0
100,2020-01-08,SZ,0.0,0.0,0.0,0.0
101,2020-01-08,TG,0.0,0.0,0.0,0.0
102,2020-01-08,TI,0.0,0.0,0.0,0.0
103,2020-01-08,UR,0.0,0.0,0.0,0.0
104,2020-01-08,VD,0.0,0.0,0.0,0.0
105,2020-01-08,VS,0.0,0.0,0.0,0.0
106,2020-01-08,ZG,0.0,0.0,0.0,0.0
107,2020-01-08,ZH,0.0,0.0,0.0,0.0
108,2020-01-09,AG,0.0,0.0,0.0,0.0
109,2020-01-09,AI,0.0,0.0,0.0,0.0
110,2020-01-09,AR,0.0,0.0,0.0,0.0
111,2020-01-09,BE,0.0,0.0,0.0,0.0
112,2020-01-09,BL,0.0,0.0,0.0,0.0
113,2020-01-09,BS,0.0,0.0,0.0,0.0
114,2020-01-09,FL,0.0,0.0,0.0,0.0
115,2020-01-09,FR,0.0,0.0,0.0,0.0
116,2020-01-09,GE,0.0,0.0,0.0,0.0
117,2020-01-09,GL,0.0,0.0,0.0,0.0
118,2020-01-09,GR,0.0,0.0,0.0,0.0
119,2020-01-09,JU,0.0,0.0,0.0,0.0
120,2020-01-09,LU,0.0,0.0,0.0,0.0
121,2020-01-09,NE,0.0,0.0,0.0,0.0
122,2020-01-09,NW,0.0,0.0,0.0,0.0
123,2020-01-09,OW,0.0,0.0,0.0,0.0
124,2020-01-09,SG,0.0,0.0,0.0,0.0
125,2020-01-09,SH,0.0,0.0,0.0,0.0
126,2020-01-09,SO,0.0,0.0,0.0,0.0
127,2020-01-09,SZ,0.0,0.0,0.0,0.0
128,2020-01-09,TG,0.0,0.0,0.0,0.0
129,2020-01-09,TI,0.0,0.0,0.0,0.0
130,2020-01-09,UR,0.0,0.0,0.0,0.0
131,2020-01-09,VD,0.0,0.0,0.0,0.0
132,2020-01-09,VS,0.0,0.0,0.0,0.0
133,2020-01-09,ZG,0.0,0.0,0.0,0.0
134,2020-01-09,ZH,0.0,0.0,0.0,0.0
135,2020-01-10,AG,0.0,0.0,0.0,0.0
136,2020-01-10,AI,0.0,0.0,0.0,0.0
137,2020-01-10,AR,0.0,0.0,0.0,0.0
138,2020-01-10,BE,0.0,0.0,0.0,0.0
139,2020-01-10,BL,0.0,0.0,0.0,0.0
140,2020-01-10,BS,0.0,0.0,0.0,0.0
141,2020-01-10,FL,0.0,0.0,0.0,0.0
142,2020-01-10,FR,0.0,0.0,0.0,0.0
143,2020-01-10,GE,0.0,0.0,0.0,0.0
144,2020-01-10,GL,0.0,0.0,0.0,0.0
145,2020-01-10,GR,0.0,0.0,0.0,0.0
146,2020-01-10,JU,0.0,0.0,0.0,0.0
147,2020-01-10,LU,0.0,0.0,0.0,0.0
148,2020-01-10,NE,0.0,0.0,0.0,0.0
149,2020-01-10,NW,0.0,0.0,0.0,0.0
150,2020-01-10,OW,0.0,0.0,0.0,0.0
151,2020-01-10,SG,0.0,0.0,0.0,0.0
152,2020-01-10,SH,0.0,0.0,0.0,0.0
153,2020-01-10,SO,0.0,0.0,0.0,0.0
154,2020-01-10,SZ,0.0,0.0,0.0,0.0
155,2020-01-10,TG,0.0,0.0,0.0,0.0
156,2020-01-10,TI,0.0,0.0,0.0,0.0
157,2020-01-10,UR,0.0,0.0,0.0,0.0
158,2020-01-10,VD,0.0,0.0,0.0,0.0
159,2020-01-10,VS,0.0,0.0,0.0,0.0
160,2020-01-10,ZG,0.0,0.0,0.0,0.0
161,2020-01-10,ZH,0.0,0.0,0.0,0.0
162,2020-01-11,AG,0.0,0.0,0.0,0.0
163,2020-01-11,AI,0.0,0.0,0.0,0.0
164,2020-01-11,AR,0.0,0.0,0.0,0.0
165,2020-01-11,BE,0.0,0.0,0.0,0.0
166,2020-01-11,BL,0.0,0.0,0.0,0.0
167,2020-01-11,BS,0.0,0.0,0.0,0.0
168,2020-01-11,FL,0.0,0.0,0.0,0.0
169,2020-01-11,FR,0.0,0.0,0.0,0.0
170,2020-01-11,GE,0.0,0.0,0.0,0.0
171,2020-01-11,GL,0.0,0.0,0.0,0.0
172,2020-01-11,GR,0.0,0.0,0.0,0.0
173,2020-01-11,JU,0.0,0.0,0.0,0.0
174,2020-01-11,LU,0.0,0.0,0.0,0.0
175,2020-01-11,NE,0.0,0.0,0.0,0.0
176,2020-01-11,NW,0.0,0.0,0.0,0.0
177,2020-01-11,OW,0.0,0.0,0.0,0.0
178,2020-01-11,SG,0.0,0.0,0.0,0.0
179,2020-01-11,SH,0.0,0.0,0.0,0.0
180,2020-01-11,SO,0.0,0.0,0.0,0.0
181,2020-01-11,SZ,0.0,0.0,0.0,0.0
182,2020-01-11,TG,0.0,0.0,0.0,0.0
183,2020-01-11,TI,0.0,0.0,0.0,0.0
184,2020-01-11,UR,0.0,0.0,0.0,0.0
185,2020-01-11,VD,0.0,0.0,0.0,0.0
186,2020-01-11,VS,0.0,0.0,0.0,0.0
187,2020-01-11,ZG,0.0,0.0,0.0,0.0
188,2020-01-11,ZH,0.0,0.0,0.0,0.0
189,2020-01-12,AG,0.0,0.0,0.0,0.0
190,2020-01-12,AI,0.0,0.0,0.0,0.0
191,2020-01-12,AR,0.0,0.0,0.0,0.0
192,2020-01-12,BE,0.0,0.0,0.0,0.0
193,2020-01-12,BL,0.0,0.0,0.0,0.0
194,2020-01-12,BS,0.0,0.0,0.0,0.0
195,2020-01-12,FL,0.0,0.0,0.0,0.0
196,2020-01-12,FR,0.0,0.0,0.0,0.0
197,2020-01-12,GE,0.0,0.0,0.0,0.0
198,2020-01-12,GL,0.0,0.0,0.0,0.0
199,2020-01-12,GR,0.0,0.0,0.0,0.0
200,2020-01-12,JU,0.0,0.0,0.0,0.0
201,2020-01-12,LU,0.0,0.0,0.0,0.0
202,2020-01-12,NE,0.0,0.0,0.0,0.0
203,2020-01-12,NW,0.0,0.0,0.0,0.0
204,2020-01-12,OW,0.0,0.0,0.0,0.0
205,2020-01-12,SG,0.0,0.0,0.0,0.0
206,2020-01-12,SH,0.0,0.0,0.0,0.0
207,2020-01-12,SO,0.0,0.0,0.0,0.0
208,2020-01-12,SZ,0.0,0.0,0.0,0.0
209,2020-01-12,TG,0.0,0.0,0.0,0.0
210,2020-01-12,TI,0.0,0.0,0.0,0.0
211,2020-01-12,UR,0.0,0.0,0.0,0.0
212,2020-01-12,VD,0.0,0.0,0.0,0.0
213,2020-01-12,VS,0.0,0.0,0.0,0.0
214,2020-01-12,ZG,0.0,0.0,0.0,0.0
215,2020-01-12,ZH,0.0,0.0,0.0,0.0
216,2020-01-13,AG,0.0,0.0,0.0,0.0
217,2020-01-13,AI,0.0,0.0,0.0,0.0
218,2020-01-13,AR,0.0,0.0,0.0,0.0
219,2020-01-13,BE,0.0,0.0,0.0,0.0
220,2020-01-13,BL,0.0,0.0,0.0,0.0
221,2020-01-13,BS,0.0,0.0,0.0,0.0
222,2020-01-13,FL,0.0,0.0,0.0,0.0
223,2020-01-13,FR,0.0,0.0,0.0,0.0
224,2020-01-13,GE,0.0,0.0,0.0,0.0
225,2020-01-13,GL,0.0,0.0,0.0,0.0
226,2020-01-13,GR,0.0,0.0,0.0,0.0
227,2020-01-13,JU,0.0,0.0,0.0,0.0
228,2020-01-13,LU,0.0,0.0,0.0,0.0
229,2020-01-13,NE,0.0,0.0,0.0,0.0
230,2020-01-13,NW,0.0,0.0,0.0,0.0
231,2020-01-13,OW,0.0,0.0,0.0,0.0
232,2020-01-13,SG,0.0,0.0,0.0,0.0
233,2020-01-13,SH,0.0,0.0,0.0,0.0
234,2020-01-13,SO,0.0,0.0,0.0,0.0
235,2020-01-13,SZ,0.0,0.0,0.0,0.0
236,2020-01-13,TG,0.0,0.0,0.0,0.0
237,2020-01-13,TI,0.0,0.0,0.0,0.0
238,2020-01-13,UR,0.0,0.0,0.0,0.0
239,2020-01-13,VD,0.0,0.0,0.0,0.0
240,2020-01-13,VS,0.0,0.0,0.0,0.0
241,2020-01-13,ZG,0.0,0.0,0.0,0.0
242,2020-01-13,ZH,0.0,0.0,0.0,0.0
243,2020-01-14,AG,0.0,0.0,0.0,0.0
244,2020-01-14,AI,0.0,0.0,0.0,0.0
245,2020-01-14,AR,0.0,0.0,0.0,0.0
246,2020-01-14,BE,0.0,0.0,0.0,0.0
247,2020-01-14,BL,0.0,0.0,0.0,0.0
248,2020-01-14,BS,0.0,0.0,0.0,0.0
249,2020-01-14,FL,0.0,0.0,0.0,0.0
250,2020-01-14,FR,0.0,0.0,0.0,0.0
251,2020-01-14,GE,0.0,0.0,0.0,0.0
252,2020-01-14,GL,0.0,0.0,0.0,0.0
253,2020-01-14,GR,0.0,0.0,0.0,0.0
254,2020-01-14,JU,0.0,0.0,0.0,0.0
255,2020-01-14,LU,0.0,0.0,0.0,0.0
256,2020-01-14,NE,0.0,0.0,0.0,0.0
257,2020-01-14,NW,0.0,0.0,0.0,0.0
258,2020-01-14,OW,0.0,0.0,0.0,0.0
259,2020-01-14,SG,0.0,0.0,0.0,0.0
260,2020-01-14,SH,0.0,0.0,0.0,0.0
261,2020-01-14,SO,0.0,0.0,0.0,0.0
262,2020-01-14,SZ,0.0,0.0,0.0,0.0
263,2020-01-14,TG,0.0,0.0,0.0,0.0
264,2020-01-14,TI,0.0,0.0,0.0,0.0
265,2020-01-14,UR,0.0,0.0,0.0,0.0
266,2020-01-14,VD,0.0,0.0,0.0,0.0
267,2020-01-14,VS,0.0,0.0,0.0,0.0
268,2020-01-14,ZG,0.0,0.0,0.0,0.0
269,2020-01-14,ZH,0.0,0.0,0.0,0.0
270,2020-01-15,AG,0.0,0.0,0.0,0.0
271,2020-01-15,AI,0.0,0.0,0.0,0.0
272,2020-01-15,AR,0.0,0.0,0.0,0.0
273,2020-01-15,BE,0.0,0.0,0.0,0.0
274,2020-01-15,BL,0.0,0.0,0.0,0.0
275,2020-01-15,BS,0.0,0.0,0.0,0.0
276,2020-01-15,FL,0.0,0.0,0.0,0.0
277,2020-01-15,FR,0.0,0.0,0.0,0.0
278,2020-01-15,GE,0.0,0.0,0.0,0.0
279,2020-01-15,GL,0.0,0.0,0.0,0.0
280,2020-01-15,GR,0.0,0.0,0.0,0.0
281,2020-01-15,JU,0.0,0.0,0.0,0.0
282,2020-01-15,LU,0.0,0.0,0.0,0.0
283,2020-01-15,NE,0.0,0.0,0.0,0.0
284,2020-01-15,NW,0.0,0.0,0.0,0.0
285,2020-01-15,OW,0.0,0.0,0.0,0.0
286,2020-01-15,SG,0.0,0.0,0.0,0.0
287,2020-01-15,SH,0.0,0.0,0.0,0.0
288,2020-01-15,SO,0.0,0.0,0.0,0.0
289,2020-01-15,SZ,0.0,0.0,0.0,0.0
290,2020-01-15,TG,0.0,0.0,0.0,0.0
291,2020-01-15,TI,0.0,0.0,0.0,0.0
292,2020-01-15,UR,0.0,0.0,0.0,0.0
293,2020-01-15,VD,0.0,0.0,0.0,0.0
294,2020-01-15,VS,0.0,0.0,0.0,0.0
295,2020-01-15,ZG,0.0,0.0,0.0,0.0
296,2020-01-15,ZH,0.0,0.0,0.0,0.0
297,2020-01-16,AG,0.0,0.0,0.0,0.0
298,2020-01-16,AI,0.0,0.0,0.0,0.0
299,2020-01-16,AR,0.0,0.0,0.0,0.0
300,2020-01-16,BE,0.0,0.0,0.0,0.0
301,2020-01-16,BL,0.0,0.0,0.0,0.0
302,2020-01-16,BS,0.0,0.0,0.0,0.0
303,2020-01-16,FL,0.0,0.0,0.0,0.0
304,2020-01-16,FR,0.0,0.0,0.0,0.0
305,2020-01-16,GE,0.0,0.0,0.0,0.0
306,2020-01-16,GL,0.0,0.0,0.0,0.0
307,2020-01-16,GR,0.0,0.0,0.0,0.0
308,2020-01-16,JU,0.0,0.0,0.0,0.0
309,2020-01-16,LU,0.0,0.0,0.0,0.0
310,2020-01-16,NE,0.0,0.0,0.0,0.0
311,2020-01-16,NW,0.0,0.0,0.0,0.0
312,2020-01-16,OW,0.0,0.0,0.0,0.0
313,2020-01-16,SG,0.0,0.0,0.0,0.0
314,2020-01-16,SH,0.0,0.0,0.0,0.0
315,2020-01-16,SO,0.0,0.0,0.0,0.0
316,2020-01-16,SZ,0.0,0.0,0.0,0.0
317,2020-01-16,TG,0.0,0.0,0.0,0.0
318,2020-01-16,TI,0.0,0.0,0.0,0.0
319,2020-01-16,UR,0.0,0.0,0.0,0.0
320,2020-01-16,VD,0.0,0.0,0.0,0.0
321,2020-01-16,VS,0.0,0.0,0.0,0.0
322,2020-01-16,ZG,0.0,0.0,0.0,0.0
323,2020-01-16,ZH,0.0,0.0,0.0,0.0
324,2020-01-17,AG,0.0,0.0,0.0,0.0
325,2020-01-17,AI,0.0,0.0,0.0,0.0
326,2020-01-17,AR,0.0,0.0,0.0,0.0
327,2020-01-17,BE,0.0,0.0,0.0,0.0
328,2020-01-17,BL,0.0,0.0,0.0,0.0
329,2020-01-17,BS,0.0,0.0,0.0,0.0
330,2020-01-17,FL,0.0,0.0,0.0,0.0
331,2020-01-17,FR,0.0,0.0,0.0,0.0
332,2020-01-17,GE,0.0,0.0,0.0,0.0
333,2020-01-17,GL,0.0,0.0,0.0,0.0
334,2020-01-17,GR,0.0,0.0,0.0,0.0
335,2020-01-17,JU,0.0,0.0,0.0,0.0
336,2020-01-17,LU,0.0,0.0,0.0,0.0
337,2020-01-17,NE,0.0,0.0,0.0,0.0
338,2020-01-17,NW,0.0,0.0,0.0,0.0
339,2020-01-17,OW,0.0,0.0,0.0,0.0
340,2020-01-17,SG,0.0,0.0,0.0,0.0
341,2020-01-17,SH,0.0,0.0,0.0,0.0
342,2020-01-17,SO,0.0,0.0,0.0,0.0
343,2020-01-17,SZ,0.0,0.0,0.0,0.0
344,2020-01-17,TG,0.0,0.0,0.0,0.0
345,2020-01-17,TI,0.0,0.0,0.0,0.0
346,2020-01-17,UR,0.0,0.0,0.0,0.0
347,2020-01-17,VD,0.0,0.0,0.0,0.0
348,2020-01-17,VS,0.0,0.0,0.0,0.0
349,2020-01-17,ZG,0.0,0.0,0.0,0.0
350,2020-01-17,ZH,0.0,0.0,0.0,0.0
351,2020-01-18,AG,0.0,0.0,0.0,0.0
352,2020-01-18,AI,0.0,0.0,0.0,0.0
353,2020-01-18,AR,0.0,0.0,0.0,0.0
354,2020-01-18,BE,0.0,0.0,0.0,0.0
355,2020-01-18,BL,0.0,0.0,0.0,0.0
356,2020-01-18,BS,0.0,0.0,0.0,0.0
357,2020-01-18,FL,0.0,0.0,0.0,0.0
358,2020-01-18,FR,0.0,0.0,0.0,0.0
359,2020-01-18,GE,0.0,0.0,0.0,0.0
360,2020-01-18,GL,0.0,0.0,0.0,0.0
361,2020-01-18,GR,0.0,0.0,0.0,0.0
362,2020-01-18,JU,0.0,0.0,0.0,0.0
363,2020-01-18,LU,0.0,0.0,0.0,0.0
364,2020-01-18,NE,0.0,0.0,0.0,0.0
